Type,Name of the ULB,Grade of Municipalities,Total,Male,Female,SC,ST,% of Women Population,% of SC Population,% of ST Population
Corporations,Coimbatore,NA,1262122,646433,615689,77178,535,48.78,6.11,0.04
Corporations,Madurai,NA,1230015,621731,608284,53676,2064,49.45,4.36,0.17
Corporations,Tiruchirapalli,NA,796644,398542,398102,70969,2991,49.97,8.91,0.38
Corporations,Tirunelveli,NA,411831,203232,208599,50564,1696,50.65,12.28,0.41
Corporations,Salem,NA,696760,353933,342827,76653,1345,49.2,11,0.19
Corporations,Erode,NA,405345,206558,198787,12642,74,49.04,3.12,0.02
Corporations,Tiruppur,NA,548773,286062,262711,13451,161,47.87,2.45,0.03
Corporations,Thoothukudi,NA,320466,160975,159491,13900,323,49.77,4.34,0.1
Corporations,Vellore,NA,423425,211547,211878,20531,340,50.04,4.85,0.08
Municipalities,Kancheepuram,Special,197288,99333,97955,11484,800,49.65,5.82,0.41
Municipalities,Pallavapuram,Special,144623,73385,71238,21914,484,49.26,15.15,0.33
Municipalities,Tambaram,Special,137933,70419,67514,18705,1282,48.95,13.56,0.93
Municipalities,Maraimalainagar,Special,48463,25309,23154,11128,242,47.78,22.96,0.5
Municipalities,Avadi,Special,229403,117991,111412,35642,2018,48.57,15.54,0.88
Municipalities,Cuddalore,Special,158634,80012,78622,19175,582,49.56,12.09,0.37
Municipalities,Tiruvannamalai,Special,130567,66125,64442,15343,1497,49.36,11.75,1.15
Municipalities,Karur,Special,168448,84881,83567,19692,90,49.61,11.69,0.05
Municipalities,Thanjavur,Special,215314,106625,108689,18541,695,50.48,8.61,0.32
Municipalities,Kumbakonam,Special,139954,69785,70169,7539,70,50.14,5.39,0.05
Municipalities,Dindigul,Special,196955,99124,97831,12869,234,49.67,6.53,0.12
Municipalities,Kodaikanal,Special,32969,16805,16164,4788,145,49.03,14.52,0.44
Municipalities,Pollachi,Special,88302,44400,43902,9112,117,49.72,10.32,0.13
Municipalities,Udhagamandalam,Special,93987,46999,46988,26761,394,49.99,28.47,0.42
Municipalities,Kovilpatti,Special,87450,43117,44333,7120,635,50.7,8.14,0.73
Municipalities,Nagercoil,Special,236774,117081,119693,9615,427,50.55,4.06,0.18
Municipalities,Rajapalayam,Special,122307,61221,61086,16286,393,49.94,13.32,0.32
Municipalities,Pammal,Selection,49999,25474,24525,7545,33,49.05,15.09,0.07
Municipalities,Tiruverkadu,Selection,32221,16462,15759,8943,148,48.91,27.76,0.46
Municipalities,Chidambaram,Selection,57733,28445,29288,3912,427,50.73,6.78,0.74
Municipalities,Tirupathur,Selection,74253,37434,36819,12461,392,49.59,16.78,0.53
Municipalities,Ambur,Selection,99624,49303,50321,14366,299,50.51,14.42,0.3
Municipalities,Ranipettai,Selection,47243,23074,24169,13721,40,51.16,29.04,0.08
Municipalities,Vaniyambadi,Selection,85752,42778,42974,11646,64,50.11,13.58,0.07
Municipalities,Viluppuram,Selection,119599,60166,59433,14149,342,49.69,11.83,0.29
Municipalities,Tindivanam,Selection,67737,34082,33655,10379,233,49.68,15.32,0.34
Municipalities,Mettur,Selection,53633,27169,26464,9058,367,49.34,16.89,0.68
Municipalities,Attur,Selection,57519,28768,28751,11517,246,49.99,20.02,0.43
Municipalities,Namakkal,Selection,91930,46612,45318,15042,303,49.3,16.36,0.33
Municipalities,Tiruchengode,Selection,80187,40780,39407,7705,78,49.14,9.61,0.1
Municipalities,Dharmapuri,Selection,64496,32643,31853,3829,73,49.39,5.94,0.11
Municipalities,Hosur,Selection,136117,72354,63763,13365,262,46.84,9.82,0.19
Municipalities,Pattukkottai,Selection,65533,32718,32815,3384,609,50.07,5.16,0.93
Municipalities,Mayiladuthurai,Selection,84505,42008,42497,4519,607,50.29,5.35,0.72
Municipalities,Nagapattinam,Selection,93148,46155,46993,7475,700,50.45,8.02,0.75
Municipalities,Mannargudi,Selection,61478,30564,30914,4355,716,50.28,7.08,1.16
Municipalities,Pudukkottai,Selection,126824,63418,63406,14032,92,50,11.06,0.07
Municipalities,Thuraiyur,Selection,31005,15530,15475,5175,447,49.91,16.69,1.44
Municipalities,Theni Allinagaram,Selection,85498,43274,42224,13182,15,49.39,15.42,0.02
Municipalities,Karaikkudi,Selection,86596,43179,43417,4935,283,50.14,5.7,0.33
Municipalities,Palani,Selection,67231,33962,33269,10071,258,49.48,14.98,0.38
Municipalities,Gobichettipalayam,Selection,55158,27287,27871,4882,251,50.53,8.85,0.46
Municipalities,Mettupalayam,Selection,66595,33385,33210,8178,78,49.87,12.28,0.12
Municipalities,Valparai,Selection,95107,46961,48146,51661,1217,50.62,54.32,1.28
Municipalities,Udumalaipettai,Selection,59668,29330,30338,5566,10,50.84,9.33,0.02
Municipalities,Coonoor,Selection,50196,24828,25368,12461,122,50.54,24.82,0.24
Municipalities,Sivakasi,Selection,72168,36312,35856,6265,150,49.68,8.68,0.21
Municipalities,Virudhunagar,Selection,72081,35769,36312,4784,99,50.38,6.64,0.14
Municipalities,Chengalpattu,Grade-I,62582,31423,31159,9824,1111,49.79,15.7,1.78
Municipalities,Thiruvallur,Grade-I,45732,23034,22698,8480,288,49.63,18.54,0.63
Municipalities,Poonamallee,Grade-I,42604,22017,20587,7426,41,48.32,17.43,0.1
Municipalities,Panruti,Grade-I,55346,27855,27491,7700,25,49.67,13.91,0.05
Municipalities,Virudhachalam,Grade-I,60164,30493,29671,8964,227,49.32,14.9,0.38
Municipalities,Arakonam,Grade-I,78686,39565,39121,17827,698,49.72,22.66,0.89
Municipalities,Gudiyatham,Grade-I,91452,45480,45972,13610,31,50.27,14.88,0.03
Municipalities,Arcot,Grade-I,49953,24995,24958,5831,175,49.96,11.67,0.35
Municipalities,Arani,Grade-I,60815,30162,30653,6559,114,50.4,10.79,0.19
Municipalities,Kallakkurichi,Grade-I,36793,18571,18222,5922,145,49.53,16.1,0.39
Municipalities,Idappadi,Grade-I,48815,25627,23188,3174,4,47.5,6.5,0.01
Municipalities,Komarapalayam,Grade-I,65868,33468,32400,2103,62,49.19,3.19,0.09
Municipalities,Rasipuram,Grade-I,46330,23485,22845,4862,54,49.31,10.49,0.12
Municipalities,Krishnagiri,Grade-I,64587,32492,32095,6032,129,49.69,9.34,0.2
Municipalities,Thiruvarur,Grade-I,56341,28595,27746,7163,391,49.25,12.71,0.69
Municipalities,Aranthangi,Grade-I,34134,16834,17300,1804,246,50.68,5.29,0.72
Municipalities,Manapparai,Grade-I,35770,17786,17984,3506,146,50.28,9.8,0.41
Municipalities,Cumbum,Grade-I,58891,29515,29376,3971,17,49.88,6.74,0.03
Municipalities,Bodinayakanur,Grade-I,73410,36774,36636,5184,25,49.91,7.06,0.03
Municipalities,Devakottai,Grade-I,40497,19910,20587,3455,12,50.84,8.53,0.03
Municipalities,Sivaganga,Grade-I,40220,20251,19969,3558,12,49.65,8.85,0.03
Municipalities,Ramanathapuram,Grade-I,62050,31111,30939,4742,580,49.86,7.64,0.93
Municipalities,Paramakudi,Grade-I,84321,42101,42220,11106,44,50.07,13.17,0.05
Municipalities,Sathyamangalam,Grade-I,33722,17124,16598,2947,121,49.22,8.74,0.36
Municipalities,Dharapuram,Grade-I,64984,31998,32986,10112,511,50.76,15.56,0.79
Municipalities,Palladam,Grade-I,30016,15260,14756,4283,3,49.16,14.27,0.01
Municipalities,Kadayanallur,Grade-I,75612,37169,38443,10575,88,50.84,13.99,0.12
Municipalities,Sankarankoil,Grade-I,53606,26884,26722,11571,230,49.85,21.59,0.43
Municipalities,Tenkasi,Grade-I,63432,31266,32166,8377,498,50.71,13.21,0.79
Municipalities,Colachel,Grade-I,23787,11996,11791,602,0,49.57,2.53,0
Municipalities,Aruppukkottai,Grade-I,84029,41929,42100,5106,125,50.1,6.08,0.15
Municipalities,Srivilliputhur,Grade-I,73183,36411,36772,4425,31,50.25,6.05,0.04
Municipalities,Thiruthangal,Grade-I,49190,24529,24661,8508,15,50.13,17.3,0.03
Municipalities,Maduranthakam,Grade-II,29059,14610,14449,4067,311,49.72,14,1.07
Municipalities,Anakaputhur,Grade-II,31918,16081,15837,3609,140,49.62,11.31,0.44
Municipalities,Tiruttani,Grade-II,38314,19376,18938,4505,1233,49.43,11.76,3.22
Municipalities,Nellikuppam,Grade-II,44222,22179,22043,14919,48,49.85,33.74,0.11
Municipalities,Walajapet,Grade-II,29475,14718,14757,2955,50,50.07,10.03,0.17
Municipalities,Jolarpet,Grade-II,27167,13470,13697,4595,162,50.42,16.91,0.6
Municipalities,Melvisharam,Grade-II,36757,18454,18303,2910,17,49.79,7.92,0.05
Municipalities,Pernampattu,Grade-II,41499,20690,20809,10105,24,50.14,24.35,0.06
Municipalities,Tiruvethipuram,Grade-II,35201,17497,17704,3968,158,50.29,11.27,0.45
Municipalities,Vandavasi,Grade-II,29610,14472,15138,4291,350,51.12,14.49,1.18
Municipalities,Narasingapuram,Grade-II,18690,9502,9188,3485,74,49.16,18.65,0.4
Municipalities,Pallipalayam,Grade-II,35635,18152,17483,643,5,49.06,1.8,0.01
Municipalities,Kulithalai,Grade-II,26161,13189,12972,3906,85,49.59,14.93,0.32
Municipalities,Sirkali,Grade-II,32228,16196,16032,7283,38,49.75,22.6,0.12
Municipalities,Vedaranyam,Grade-II,31627,15299,16328,4462,111,51.63,14.11,0.35
Municipalities,Thiruthuraipoondi,Grade-II,22905,11272,11633,6029,331,50.79,26.32,1.45
Municipalities,Koothanallur,Grade-II,22995,10846,12149,5170,77,52.83,22.48,0.33
Municipalities,Thuvakudi,Grade-II,35428,18510,16918,5151,204,47.75,14.54,0.58
Municipalities,Perambalur,Grade-II,37631,19131,18500,10629,75,49.16,28.25,0.2
Municipalities,Jayankondam,Grade-II,31268,15532,15736,5544,549,50.33,17.73,1.76
Municipalities,Ariyalur,Grade-II,27822,14065,13757,2765,38,49.45,9.94,0.14
Municipalities,Thirumangalam,Grade-II,43631,21840,21791,2922,28,49.94,6.7,0.06
Municipalities,Melur,Grade-II,33881,17238,16643,3978,148,49.12,11.74,0.44
Municipalities,Usilampatti,Grade-II,30601,15393,15208,2443,0,49.7,7.98,0
Municipalities,Periyakulam,Grade-II,42012,21104,20908,6005,84,49.77,14.29,0.2
Municipalities,Chinnamanur,Grade-II,38360,19285,19075,5750,78,49.73,14.99,0.2
Municipalities,Gudalur (T),Grade-II,35531,17810,17721,1812,63,49.87,5.1,0.18
Municipalities,Keelakarai,Grade-II,30412,14047,16365,1014,0,53.81,3.33,0
Municipalities,Rameswaram,Grade-II,37968,19604,18364,1812,0,48.37,4.77,0
Municipalities,Oddanchatram,Grade-II,24132,12142,11990,4266,1,49.69,17.68,0
Municipalities,Bhavani,Grade-II,38778,19530,19248,2333,52,49.64,6.02,0.13
Municipalities,Punjaipuliyampatti,Grade-II,14832,7435,7397,2588,0,49.87,17.45,0
Municipalities,Vellakoil,Grade-II,34438,17284,17154,3598,26,49.81,10.45,0.08
Municipalities,Kangeyam,Grade-II,28258,14447,13811,3570,0,48.87,12.63,0
Municipalities,Gudalur (N),Grade-II,43096,21398,21698,11189,1489,50.35,25.96,3.46
Municipalities,Nelliyalam,Grade-II,41837,20871,20966,24380,1316,50.11,58.27,3.15
Municipalities,Puliyankudi,Grade-II,60080,29982,30098,10503,341,50.1,17.48,0.57
Municipalities,Sengottai,Grade-II,26838,13396,13442,2490,241,50.09,9.28,0.9
Municipalities,Ambasamudram,Grade-II,32739,15819,16920,4490,100,51.68,13.71,0.31
Municipalities,Vikramasingapuram,Grade-II,48309,24019,24290,3426,20,50.28,7.09,0.04
Municipalities,Kayalpattinam,Grade-II,32664,15010,17654,2627,14,54.05,8.04,0.04
Municipalities,Kuzhithurai,Grade-II,20503,10069,10434,341,27,50.89,1.66,0.13
Municipalities,Padmanabhapuram,Grade-II,20075,9967,10108,2112,7,50.35,10.52,0.03
Municipalities,Sattur,Grade-II,31443,15439,16004,1954,198,50.9,6.21,0.63
